folder_path,java_file_count
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/.mvn/wrapper,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde/internal,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde/ui,17
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde/ui/internal,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde/ui/javaoptions,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/main/java/org/aspectj/ajde/ui/swing,27
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/test/java/org/aspectj/ajde,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/test/java/org/aspectj/ajde/internal,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/test/java/org/aspectj/ajde/ui,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/src/test/java/org/aspectj/ajde/ui/utils,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/LstBuildConfigManagerTest,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/LstBuildConfigManagerTest/moduleB,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/LstBuildConfigManagerTest/moduleB/moduleC,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/LstBuildConfigManagerTest/moduleB/moduleC/moduleD,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/SecurityManagerTest/src,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/SimpleStructureModelTest,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/StructureModelRegressionTest/pkg,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/StructureViewManagerTest/pkg,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/bug-40943/aspects,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/bug-83565,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/coverage,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/coverage/pkg,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/declare-warning/apackage,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-coverage/editor,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-coverage/figures,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-coverage/figures/composites,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-coverage/figures/primitives/planar,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-coverage/figures/primitives/solid,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-demo/figures,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-demo/figures/gui,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/figures-demo/figures/support,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/plainJava/apples,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/spacewar/coordination,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/examples/spacewar/spacewar,19
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/extensions,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/figures-coverage/editor,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/figures-coverage/figures,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/figures-coverage/figures/composites,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/figures-coverage/figures/primitives/planar,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/figures-coverage/figures/primitives/solid,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde/testdata/inheritance,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/src/main/java/org/aspectj/ajde/core,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/src/main/java/org/aspectj/ajde/core/internal,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/src/test/java/org/aspectj/ajde/core,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/src/test/java/org/aspectj/ajde/core/tests,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/src/test/java/org/aspectj/ajde/core/tests/model,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/BuildCancelling,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/InpathTest/indir2/example,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/InpathTest/src1,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/InpathTest/src2,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/JarManifestTest/src,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/OutxmlTest/src,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/ReweavableTest,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/ReweavableTest/tjp,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/SimpleProject,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/WeaveInfoMessagesTest,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/bug-36071a/src,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/bug-36071a/src/aspects,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/bug-36071a/src/testsrc,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/coverage,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/coverage/pkg,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/declare-warning/apackage,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/figures-coverage/editor,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/figures-coverage/figures,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/figures-coverage/figures/composites,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/figures-coverage/figures/primitives/planar,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajde.core/testdata/figures-coverage/figures/primitives/solid,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/src/main/java/org/aspectj/tools/ajdoc,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/src/test/java/org/aspectj/tools/ajdoc,15
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/bug82340,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage/fluffy,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage/fluffy/bunny,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage/fluffy/bunny/rocks,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage/foo,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/coverage/pkg,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/declareForms,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/failing-build,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/figures-demo/figures,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr119453/src/pack,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr122728/src/pack,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr148906,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr160302,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr164340,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/pr164356,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/spacewar/coordination,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/ajdoc/testdata/spacewar/spacewar,19
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/src/main/java/org/aspectj/asm,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/src/main/java/org/aspectj/asm/internal,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/src/test/java/org/aspectj/asm,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/testdata/simple-coverage,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/testdata/simple-coverage/pkg1,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/asm/testdata/simple-coverage/pkg1/subpkg,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/main/java/org/aspectj/apache/bcel,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/main/java/org/aspectj/apache/bcel/classfile,62
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/main/java/org/aspectj/apache/bcel/classfile/annotation,18
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/main/java/org/aspectj/apache/bcel/generic,44
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/main/java/org/aspectj/apache/bcel/util,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/test/java/org/aspectj/apache/bcel/classfile/tests,28
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/src/test/java/org/aspectj/apache/bcel/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata,33
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/lambda/one,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/one,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/a,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/b,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/c,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/d,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/e,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/f,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/g,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testdata/modules/two/h,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bcel-builder/testsrc_j8,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bridge/src/main/java/org/aspectj/bridge,19
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bridge/src/main/java/org/aspectj/bridge/context,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bridge/src/test/java/org/aspectj/bridge,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/bridge/src/test/java/org/aspectj/bridge/context,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/build/src/main/java/$installer$/org/aspectj,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/aspectj/build/src/main/java/org/aspectj/internal/tools/ant/taskdefs,10
