folder_path,java_file_count
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/core/i18n,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/internal/core,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/internal/core/launcher,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/internal/core/vm,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/internal/core/vm/js,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/src/org/eclipse/birt/report/debug/internal/core/vm/rm,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.core/test/org/eclipse/birt/report/debug/internal/core,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/script/model,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/launcher,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/launcher/util,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/actions,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/editor,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/handlers,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/launcher,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/launcher/sourcelookup,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/outline,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/outline/node,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/internal/ui/script/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/ui,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/ui/i18n,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/ui/launcher,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.debug.ui/src/org/eclipse/birt/report/debug/ui/launching,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/commands,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/mediator,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/mediator/impl,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/schematic,16
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/views/data,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/views/outline,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/views/property,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/runtime,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/util/mediator,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/util/mediator/request,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/nls,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/util,25
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.samplereports/samplereports.ide/Scripting/Scripted Data Source,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/src/org/eclipse/birt/report/designer/tests,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/src/org/eclipse/birt/report/designer/tests/example/matrix,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/core,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/core/commands,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/core/model/schematic,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/core/runtime,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/internal/ui/dnd,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/internal/ui/palette,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/internal/ui/util,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/internal/ui/views/attributes/page,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/nls,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/tests,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/testutil,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/ui,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/ui/extensions,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/ui/views/attributes,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.tests/test/org/eclipse/birt/report/designer/util,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/data/ui/aggregation,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/data/ui/dataset,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/data/ui/property,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/data/ui/util,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/actions,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/actions/helper,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/command,44
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/data,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/data/function/layout,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dialogs,98
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dialogs/expression,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dialogs/helper,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dialogs/parameters,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dialogs/resource,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/dnd,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/breadcrumb,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/breadcrumb/providers,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/parts,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/parts/event,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/rulers,19
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/actions,51
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/border,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts,34
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editpolicies,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/extensions,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/figures,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/handles,23
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/layer,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/providers,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/tools,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/expressions,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/extension,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/extension/experimental,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/layout,17
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/palette,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/preferences,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/processor,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/resourcelocator,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/script,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/swt/custom,31
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/util,21
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/util/bidi,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/birt/UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/util/graphics,3
