folder_path,java_file_count
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands,39
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands/common,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands/contexts,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands/internal/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands/operations,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/commands/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/internal/commands/operations,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.commands/src/org/eclipse/core/internal/commands/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding/bind,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding/bind/steps,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding/conversion,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding/conversion/text,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/databinding/validation,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/internal/databinding,17
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/internal/databinding/bind,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/internal/databinding/conversion,25
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding/src/org/eclipse/core/internal/databinding/validation,24
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.beans/src/org/eclipse/core/databinding/beans,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.beans/src/org/eclipse/core/databinding/beans/typed,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.beans/src/org/eclipse/core/internal/databinding/beans,32
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable,22
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/list,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/map,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/masterdetail,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/set,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/sideeffect,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/observable/value,18
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/databinding/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/internal/databinding/identity,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/internal/databinding/observable,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/internal/databinding/observable/masterdetail,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.observable/src/org/eclipse/core/internal/databinding/observable/sideeffect,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/databinding/property,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/databinding/property/list,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/databinding/property/map,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/databinding/property/set,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/databinding/property/value,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/internal/databinding/property,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/internal/databinding/property/list,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/internal/databinding/property/map,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/internal/databinding/property/set,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.databinding.property/src/org/eclipse/core/internal/databinding/property/value,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.filebuffers/src/org/eclipse/core/filebuffers,15
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.filebuffers/src/org/eclipse/core/filebuffers/manipulation,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.core.filebuffers/src/org/eclipse/core/internal/filebuffers,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.core.commands/src/org/eclipse/e4/core/commands,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.core.commands/src/org/eclipse/e4/core/commands/internal,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.emf.xpath/src/org/eclipse/e4/emf/xpath,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.emf.xpath/src/org/eclipse/e4/emf/xpath/internal/java,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.bindings/src/org/eclipse/e4/ui/bindings,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.bindings/src/org/eclipse/e4/ui/bindings/internal,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.bindings/src/org/eclipse/e4/ui/bindings/keys,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/css2,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom/parsers,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom/properties,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom/properties/converters,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom/properties/css2,22
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/dom/properties/providers,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/engine,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/exceptions,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/impl/dom,28
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/impl/dom/parsers,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/impl/dom/properties,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/impl/engine,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/impl/sac,26
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/resources,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/sac,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/serializers,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/util/impl/resources,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/util/resources,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.core/src/org/eclipse/e4/ui/css/core/utils,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/dom,18
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/dom/definition,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/dom/html,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/dom/preference,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/engine,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/helpers,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties/converters,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties/css2,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties/custom,29
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties/definition,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/properties/preference,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/resources,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/css/swt/serializers,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/internal/css/swt,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt/src/org/eclipse/e4/ui/internal/css/swt/definition,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt.theme/src/org/eclipse/e4/ui/css/swt/internal/theme,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.css.swt.theme/src/org/eclipse/e4/ui/css/swt/theme,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.di/src/org/eclipse/e4/ui/di,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.di/src/org/eclipse/e4/ui/internal/di,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.dialogs/src/org/eclipse/e4/ui/dialogs/filteredtree,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.dialogs/src/org/eclipse/e4/ui/dialogs/textbundles,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.dialogs/src/org/eclipse/e4/ui/internal/dialogs/about,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.ide/src/org/eclipse/e4/ui/internal/workspace/markers,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/commands,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/commands/impl,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/commands/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/descriptor/basic,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/descriptor/basic/impl,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/descriptor/basic/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/impl,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui,15
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui/advanced,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui/advanced/impl,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui/advanced/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui/basic,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/eclipse/bundles/org.eclipse.e4.ui.model.workbench/src/org/eclipse/e4/ui/model/application/ui/basic/impl,9
