folder_path,java_file_count
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.astview/src/org/eclipse/jdt/astview,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.astview/src/org/eclipse/jdt/astview/views,22
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/asm,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/compare,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/internal,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/preferences,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/ui,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/ui/actions,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.bcoview/src/org/eclipse/jdt/bcoview/views,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/core/manipulation,16
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/core/manipulation/internal/javadoc,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/common,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/core/manipulation,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/corext/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/jarpackager,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/browsing,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/dialogs,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/fix,57
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/javaeditor,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/javaeditor/saveparticipant,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/model,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/preferences,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/preferences/formatter,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/propertiesfileeditor,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/text,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/text/correction,21
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/text/correction/proposals,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/text/template/contentassist,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/util,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/internal/ui/viewsupport,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/ui/cleanup,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/core/manipulation/dom,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/core/manipulation/search,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/core/manipulation/util,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/callhierarchy,16
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/codemanipulation,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/codemanipulation/tostringgeneration,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom,33
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/fragments,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/fix,88
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/fix/helper,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring,18
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/base,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/changes,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/code,17
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/code/flow,22
/home/ishita/BugLocalization/Data-22k/Code Corpus/jdt/org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/code/makestatic,6
