folder_path,java_file_count
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/annotation,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/annotation/security,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/annotation/sql,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/ejb,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/el,41
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/mail,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/mail/internet,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/persistence,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/security/auth/message,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/security/auth/message/callback,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/security/auth/message/config,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/security/auth/message/module,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet,42
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/annotation,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/descriptor,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/http,21
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/jsp,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/jsp/el,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/servlet/jsp/tagext,26
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/transaction,15
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/websocket,26
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/websocket/server,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/jakarta/xml/ws,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina,47
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ant,21
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ant/jmx,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/authenticator,13
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/authenticator/jaspic,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/connector,14
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/core,45
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/deploy,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/filters,18
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha,9
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/authenticator,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/backend,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/context,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/deploy,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/session,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ha/tcp,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/loader,6
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/manager,8
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/manager/host,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/manager/util,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/mapper,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/mbeans,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/realm,20
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/security,3
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/servlets,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/session,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/ssi,23
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/startup,34
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/storeconfig,39
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes,19
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/group,11
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/group/interceptors,22
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/io,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/jmx,1
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/membership,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/membership/cloud,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/tipis,4
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/transport,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/transport/nio,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/tribes/util,7
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/users,12
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/util,32
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/valves,23
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/valves/rewrite,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/webresources,29
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/catalina/webresources/war,2
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/coyote,26
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/coyote/ajp,5
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/coyote/http11,10
/home/ishita/BugLocalization/Data-22k/Code Corpus/tomcat/java/org/apache/coyote/http11/filters,9
